"CMPD_CHEMBLID","MOLWEIGHT","ALOGP","PSA","NUM_RO5_VIOLATIONS","CANONICAL_SMILES","PUBLISHED_VALUE","PUBLISHED_UNITS"
"CHEMBL3699394",530.62,6.41,80.56,2,"Cc1c(C)n(Cc2ccc(cc2)c3ccccc3C(=O)O)c4ccc(cc14)C(=O)N[C@@H]5COc6ccccc6C5",88.0,"nM"
"CHEMBL3695858",533.58,6.76,114.47,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)cn2Cc3ccc(cc3)c4ccccc4C(=O)O)c5ccc(cc5)[N+](=O)[O-]",126.0,"nM"
"CHEMBL3695858",533.58,6.76,114.47,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)cn2Cc3ccc(cc3)c4ccccc4C(=O)O)c5ccc(cc5)[N+](=O)[O-]",126.0,"nM"
"CHEMBL3699406",538.05,7.21,84.22,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4C(=O)O)c5ccc(Cl)nc5",144.0,"nM"
"CHEMBL3699438",571.77,8.29,54.34,2,"CC(C)c1cccc(c1)[C@H](C)NC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5C(=O)N(C)C",148.0,"nM"
"CHEMBL3695875",508.67,8.62,34.03,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4)c5cccc6ccccc56",256.0,"nM"
"CHEMBL3695793",491.55,6.46,97.4,1,"C[C@H](NC(=O)c1ccc2c(ccn2Cc3ccc(cc3)c4ccc(O)cc4)c1)c5ccc(cc5)[N+](=O)[O-]",300.0,"nM"
"CHEMBL3695769",566.68,6.01,105.47,2,"Cc1c(C)n(Cc2ccc(cc2)c3ccccc3C(=O)O)c4ccc(cc14)C(=O)NCc5ccc(cc5)S(=O)(=O)C",553.0,"nM"
"CHEMBL3695782",516.64,7.34,71.33,2,"Cc1c(C)n(Cc2ccc(cc2)c3ccccc3C(=O)O)c4ccc(cc14)C(=O)NC(C)(C)c5ccccc5",0.5,"nM"
"CHEMBL3695847",530.67,7.94,71.33,2,"CCC[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4C(=O)O)c5ccccc5",0.8,"nM"
"CHEMBL3699369",600.64,8.19,80.56,2,"COc1cc(ccc1[C@H](C)NC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5C(=O)O)C(F)(F)F",2.0,"nM"
